,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
131,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",13
132,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading No. 15.09.",13
494,4108,Chamois (including combination chamois) leather.,13
495,4109,Patent leather and patent laminated leather; metallised leather.,13
503,4206,"Articles of gut (other than silk-worm gut), of goldbeater's skin, of bladders or of tendons.",13
529,4501,"Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork.",13
530,4502,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip, (including sharp-edged blanks for corks or stoppers).",13
531,4503,Articles of natural cork.,13
532,4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork.,13
964,8307,"Flexible tubing of base metal, with or without fittings.",13
1128,8802,"Other aircraft (for example, helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles.",13
