HS_4dig,Category
101,0
103,0
105,0
106,9
201,0
202,0
203,0
205,0
206,0
207,0
208,0
209,4
303,0
304,0
305,0
306,0
307,0
402,0
404,0
405,0
406,0
408,0
409,0
410,0
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
601,2
602,2
603,2
604,2
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
801,0
802,0
803,0
804,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,5
1109,5
1201,2
1202,2
1203,2
1204,2
1205,2
1206,2
1207,2
1208,2
1209,2
1210,0
1211,2
1213,0
1214,0
1301,2
1302,2
1401,2
1402,2
1403,2
1404,2
1501,0
1502,4
1503,4
1504,4
1505,4
1506,4
1507,4
1508,4
1509,4
1510,4
1511,4
1512,4
1513,4
1514,4
1515,4
1516,4
1517,0
1518,4
1520,5
1521,4
1522,4
1601,0
1602,0
1603,0
1604,0
1605,0
1703,0
1704,0
1802,0
1803,0
1804,0
1806,0
1901,0
1902,0
1903,0
1904,0
1905,0
2001,0
2002,0
2003,0
2004,0
2005,0
2008,0
2102,0
2103,0
2104,0
2105,0
2106,0
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,5
2208,1
2209,0
2301,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2401,1
2402,1
2403,1
2501,2
2502,2
2503,2
2504,2
2505,2
2506,2
2507,2
2508,2
2509,2
2510,2
2511,2
2512,2
2513,2
2514,2
2515,2
2516,2
2517,2
2518,2
2519,2
2520,2
2521,2
2522,6
2523,6
2524,2
2525,2
2526,2
2527,2
2528,2
2529,2
2530,2
2601,2
2602,2
2603,2
2604,2
2605,2
2606,2
2607,2
2608,2
2609,2
2610,2
2611,2
2612,2
2613,2
2614,2
2615,2
2616,2
2617,2
2618,2
2619,2
2620,2
2621,2
2701,3
2702,3
2703,3
2704,3
2705,3
2706,3
2707,3
2708,3
2709,3
2710,3
2711,3
2712,3
2713,3
2714,2
2715,3
2716,3
2801,5
2802,5
2803,5
2804,5
2805,5
2806,5
2807,5
2808,5
2809,5
2810,5
2811,5
2812,5
2813,5
2814,5
2815,5
2816,5
2817,5
2819,5
2820,5
2821,5
2822,5
2823,5
2824,5
2825,5
2826,5
2827,5
2828,5
2829,5
2830,5
2831,5
2832,5
2833,5
2834,5
2835,5
2836,5
2837,5
2838,5
2839,5
2840,5
2841,5
2842,5
2843,5
2845,5
2846,5
2847,5
2848,5
2849,5
2850,5
2851,5
2901,5
2902,5
2903,5
2904,5
2905,5
2906,5
2907,5
2908,5
2909,5
2910,5
2911,5
2912,5
2913,5
2914,5
2915,5
2916,5
2917,5
2918,5
2919,5
2920,5
2921,5
2922,5
2923,5
2924,5
2925,5
2926,5
2927,5
2928,5
2929,5
2930,5
2931,5
2932,5
2933,5
2934,5
2935,5
2936,5
2937,5
2938,5
2939,5
2940,5
2941,5
2942,5
3001,5
3002,5
3003,5
3004,5
3005,5
3006,5
3101,2
3103,5
3105,5
3201,5
3202,5
3203,5
3204,5
3205,5
3206,5
3207,5
3208,5
3209,5
3210,5
3211,5
3212,5
3213,5
3214,5
3301,5
3302,5
3303,5
3304,5
3305,5
3307,5
3401,5
3402,5
3403,3
3404,5
3405,5
3406,8
3407,5
3501,5
3502,5
3503,5
3504,5
3505,5
3506,5
3507,5
3601,5
3602,5
3604,5
3605,8
3606,8
3701,8
3702,8
3703,8
3704,8
3705,8
3706,8
3707,8
3801,5
3802,5
3803,5
3804,5
3805,5
3806,5
3807,5
3808,5
3809,5
3810,5
3811,5
3812,5
3813,5
3814,5
3815,5
3816,6
3817,5
3818,5
3819,5
3820,5
3821,5
3822,5
3824,5
3901,5
3902,5
3903,5
3904,5
3905,5
3906,5
3907,5
3908,5
3909,5
3910,5
3911,5
3912,5
3913,5
3914,5
3915,5
3916,5
3917,8
3918,8
3919,8
3920,5
3921,5
3922,8
3923,8
3924,8
3925,8
3926,8
4001,2
4002,2
4003,2
4004,2
4005,6
4006,6
4007,6
4008,6
4009,6
4010,6
4011,6
4012,6
4013,6
4014,6
4015,8
4016,6
4017,6
4101,2
4102,2
4103,2
4104,6
4105,6
4106,6
4107,6
4108,6
4109,6
4110,2
4111,6
4201,6
4202,8
4203,8
4204,6
4205,6
4206,8
4301,2
4302,6
4303,8
4304,8
4401,2
4402,2
4403,2
4404,6
4405,6
4406,2
4407,2
4408,6
4409,2
4410,6
4411,6
4412,6
4413,6
4414,6
4415,6
4416,6
4417,6
4418,6
4419,6
4420,6
4421,6
4501,2
4502,2
4503,6
4504,6
4601,6
4602,8
4701,2
4702,2
4703,2
4704,2
4705,2
4706,2
4707,2
4801,6
4802,6
4803,6
4804,6
4805,6
4806,6
4807,6
4808,6
4809,6
4810,6
4811,6
4812,6
4813,6
4814,6
4815,6
4816,6
4817,6
4818,6
4819,6
4820,6
4821,8
4822,6
4823,6
4901,8
4902,8
4903,8
4904,8
4905,8
4906,8
4907,8
4908,8
4909,8
4910,8
4911,8
5001,2
5002,2
5003,2
5004,6
5005,6
5006,6
5007,6
5101,2
5102,2
5103,2
5104,2
5106,6
5107,6
5108,6
5109,6
5110,6
5111,6
5112,6
5113,6
5201,2
5202,2
5203,2
5204,6
5205,6
5206,6
5207,6
5208,6
5209,6
5210,6
5211,6
5212,6
5301,2
5302,2
5303,2
5304,2
5305,2
5306,6
5307,6
5308,6
5309,6
5310,6
5311,6
5401,6
5402,6
5403,6
5404,6
5405,6
5406,6
5407,6
5408,6
5501,2
5502,2
5503,2
5504,2
5505,2
5506,2
5507,2
5508,6
5509,6
5510,6
5511,6
5512,6
5513,6
5514,6
5515,6
5516,6
5601,6
5602,6
5603,6
5604,6
5605,6
5606,6
5607,6
5608,6
5609,6
5701,6
5702,6
5703,6
5704,6
5705,6
5801,6
5802,6
5803,6
5804,6
5805,6
5806,6
5807,6
5808,6
5809,6
5810,6
5811,6
5901,6
5902,6
5903,6
5904,6
5905,6
5906,6
5907,6
5908,6
5909,6
5910,6
5911,6
6001,6
6002,6
6101,8
6102,8
6103,8
6104,8
6105,8
6106,8
6107,8
6108,8
6109,8
6110,8
6111,8
6112,8
6113,8
6114,8
6115,8
6116,8
6117,8
6201,8
6202,8
6203,8
6204,8
6205,8
6206,8
6207,8
6208,8
6209,8
6210,8
6211,8
6212,8
6213,8
6214,8
6215,8
6216,8
6217,8
6302,6
6303,6
6304,6
6305,6
6306,6
6307,6
6308,6
6309,2
6310,2
6401,8
6402,8
6403,8
6404,8
6405,8
6406,6
6501,6
6502,6
6503,8
6504,8
6505,8
6506,8
6507,8
6601,8
6602,8
6603,8
6701,8
6702,8
6703,8
6704,8
6801,6
6802,6
6803,6
6804,6
6805,6
6806,6
6807,6
6808,6
6809,6
6810,6
6811,6
6812,6
6813,6
6814,6
6815,6
6901,6
6902,6
6903,6
6904,6
6905,6
6906,6
6907,6
6908,6
6909,6
6911,6
6912,6
6913,6
6914,6
7001,6
7002,6
7003,6
7004,6
7005,6
7006,6
7007,6
7008,6
7009,6
7010,6
7011,6
7012,6
7013,6
7014,6
7015,6
7016,6
7017,6
7018,6
7019,6
7020,6
7101,6
7103,6
7104,6
7105,2
7106,6
7107,6
7108,9
7109,9
7110,6
7111,6
7113,8
7114,8
7115,8
7116,8
7117,8
7118,9
7201,6
7202,6
7203,6
7205,6
7206,6
7207,6
7208,6
7209,6
7210,6
7211,6
7212,6
7213,6
7214,6
7215,6
7216,6
7217,6
7218,6
7219,6
7220,6
7221,6
7222,6
7223,6
7224,6
7225,6
7226,6
7227,6
7228,6
7229,6
7301,6
7302,6
7303,6
7304,6
7305,6
7306,6
7307,6
7308,6
7309,6
7310,6
7311,6
7312,6
7313,6
7314,6
7315,6
7316,6
7317,6
7318,6
7319,6
7320,6
7321,6
7323,6
7324,6
7325,6
7326,6
7401,2
7402,6
7403,6
7404,2
7405,6
7406,6
7407,6
7408,6
7409,6
7410,6
7411,6
7412,6
7413,6
7414,6
7415,6
7416,6
7417,6
7418,6
7419,6
7501,2
7502,6
7503,2
7504,6
7505,6
7506,6
7507,6
7508,6
7601,6
7602,2
7603,6
7604,6
7605,6
7606,6
7607,6
7608,6
7609,6
7610,6
7611,6
7612,6
7613,6
7614,6
7615,6
7616,6
7801,6
7802,2
7803,6
7804,6
7805,6
7806,6
7901,6
7902,2
7903,6
7904,6
7905,6
7906,6
7907,6
8001,6
8002,2
8003,6
8004,6
8005,6
8006,6
8007,6
8101,6
8102,6
8103,6
8104,6
8105,6
8106,6
8107,6
8108,6
8109,6
8110,6
8111,6
8112,6
8113,6
8201,6
8202,6
8203,6
8204,6
8205,6
8206,6
8207,6
8208,6
8209,6
8210,6
8211,6
8212,6
8213,6
8214,6
8215,6
8301,6
8302,6
8303,6
8304,8
8305,8
8306,6
8307,6
8308,6
8309,6
8310,6
8311,6
8401,7
8405,7
8406,7
8407,7
8408,7
8409,7
8410,7
8411,7
8412,7
8413,7
8414,7
8415,7
8416,7
8417,7
8418,7
8419,7
8420,7
8421,7
8422,7
8423,7
8424,7
8425,7
8426,7
8427,7
8428,7
8429,7
8430,7
8431,7
8432,7
8433,7
8434,7
8435,7
8436,7
8437,7
8438,7
8439,7
8440,7
8441,7
8442,7
8443,7
8444,7
8445,7
8446,7
8447,7
8448,7
8449,7
8450,7
8451,7
8452,7
8453,7
8454,7
8455,7
8456,7
8457,7
8458,7
8459,7
8460,7
8461,7
8462,7
8463,7
8464,7
8465,7
8466,7
8467,7
8468,7
8469,7
8470,7
8472,7
8473,7
8474,7
8475,7
8476,7
8477,7
8478,7
8479,7
8481,7
8482,7
8483,7
8484,7
8485,7
8501,7
8502,7
8503,7
8504,7
8505,7
8506,7
8507,7
8508,7
8509,7
8510,7
8511,7
8512,7
8513,8
8514,7
8515,7
8516,7
8517,7
8518,7
8519,7
8520,7
8521,7
8522,7
8523,8
8524,8
8525,7
8526,7
8527,7
8528,7
8529,7
8530,7
8531,7
8532,7
8533,7
8534,7
8535,7
8536,7
8537,7
8538,7
8539,7
8540,7
8541,7
8542,7
8543,7
8545,7
8546,7
8547,7
8548,7
8601,7
8602,7
8603,7
8604,7
8605,7
8606,7
8607,7
8608,7
8609,7
8701,7
8702,7
8703,7
8704,7
8705,7
8706,7
8707,7
8708,7
8709,7
8710,9
8711,7
8712,7
8713,7
8714,7
8715,8
8716,7
8801,7
8802,7
8803,7
8804,8
8805,7
8901,7
8902,7
8903,7
8904,7
8905,7
8906,7
8907,7
8908,7
9001,8
9002,8
9003,8
9004,8
9005,8
9006,8
9007,8
9008,8
9009,7
9010,8
9011,8
9012,8
9013,8
9014,8
9015,8
9016,8
9017,8
9019,8
9020,8
9021,8
9022,7
9023,8
9024,8
9025,8
9026,8
9027,8
9028,8
9029,8
9030,8
9031,8
9032,8
9033,8
9101,8
9102,8
9103,8
9104,8
9105,8
9106,8
9107,8
9108,8
9109,8
9110,8
9111,8
9112,8
9113,8
9114,8
9201,8
9202,8
9203,8
9204,8
9205,8
9206,8
9207,8
9208,8
9209,8
9301,9
9302,9
9303,8
9304,8
9305,9
9307,9
9401,8
9402,8
9403,8
9404,8
9405,8
9406,6
9501,8
9502,8
9503,8
9504,8
9505,8
9506,8
9507,8
9508,8
9601,8
9602,8
9603,8
9604,8
9605,8
9606,8
9607,8
9608,8
9609,8
9610,8
9611,8
9612,8
9613,8
9614,8
9615,8
9616,8
9617,8
9618,8
9701,8
9702,8
9703,8
9704,8
9705,8
9706,8
1001,0
102,0
104,0
1212,0
1701,0
1702,0
1801,0
1805,0
2006,0
2007,0
2009,0
204,0
210,0
2101,0
2302,0
2818,5
2844,5
301,0
302,0
3102,5
3104,2
3215,5
3306,5
3603,0
3823,4
401,0
403,0
407,0
5105,2
6301,7
6910,0
701,0
7102,6
7112,9
7204,2
7322,0
805,0
8402,0
8403,0
8404,0
8471,0
8480,7
8544,7
901,0
9018,7
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
9306,9
